fast_ema,slow_ema,signal_ema,min_days_between_trades,trade_size,final_value,cagr
8,30,6,4,1,1042383.357421875,0.004161317858727864
8,30,6,4,11,1437087.79296875,0.036942799407388316
8,30,6,4,21,1628148.8828125,0.049972945789350964
8,30,6,4,31,1720835.25,0.05580475752584446
8,30,6,4,41,1905036.001953125,0.06660058727657736
8,30,6,6,1,1037639.0048828125,0.0037031522562729347
8,30,6,6,11,1424235.3994140625,0.036011288237022265
8,30,6,6,21,1565228.7197265625,0.04584126857140447
8,30,6,6,31,1616635.0771484375,0.04922775536190027
8,30,6,6,41,1755463.998046875,0.05791124501844447
8,30,6,8,1,1086820.1616210938,0.008363818443256843
8,30,6,8,11,1651812.7934570312,0.05148973517556921
8,30,6,8,21,1907659.9799804688,0.06674746914668317
8,30,6,8,31,2042223.1938476562,0.0740464423548921
8,30,6,8,41,1854454.3740234375,0.06373300572424312
8,30,6,10,1,1097316.3120117188,0.009333854925507756
8,30,6,10,11,1589972.4262695312,0.04748360280126063
8,30,6,10,21,1603661.9086914062,0.04838236825536035
8,30,6,10,31,1621188.9892578125,0.04952306046419097
8,30,6,10,41,1532932.6743164062,0.04366214248630618
8,30,8,2,1,1033609.5522460938,0.0033125420929336347
8,30,8,2,11,1380173.7661132812,0.03275932725409536
8,30,8,2,21,1596192.1225585938,0.04789280877555879
8,30,8,2,31,1662648.2348632812,0.0521777387689244
8,30,8,2,41,1865940.4799804688,0.06439030072468
8,30,8,4,1,1035071.7036132812,0.003454439403859366
8,30,8,4,11,1346434.0268554688,0.030205384329317964
8,30,8,4,21,1480617.5356445312,0.040042990690516866
8,30,8,4,31,1512313.7045898438,0.042249197239820235
8,30,8,4,41,1643720.3598632812,0.05097324617988308
8,30,8,6,1,1086753.1069335938,0.00835759430602101
8,30,8,6,11,1659387.8618164062,0.05197114465551578
8,30,8,6,21,1940038.7192382812,0.06854511778868222
8,30,8,6,31,1924258.7485351562,0.06767242396830353
8,30,8,6,41,1890175.4838867188,0.06576529150713228
8,30,8,8,1,1132129.60546875,0.012492533035220355
8,30,8,8,11,2098751.521484375,0.07698419519842781
8,30,8,8,21,1873619.892578125,0.06482772872959819
8,30,8,8,31,1678859.6455078125,0.053199595536009614
8,30,8,8,41,1672602.8779296875,0.05280626820765133
8,30,8,10,1,1071367.65625,0.006920268941883023
8,30,8,10,11,1564980.947265625,0.045824705139363875
8,30,8,10,21,1359651.291015625,0.031212659128714515
8,30,8,10,31,1323357.97265625,0.028425254596606386
8,30,8,10,41,1204592.2021484375,0.018796222537588836
8,30,10,2,1,1013608.7475585938,0.0013531680645773037
8,30,10,2,11,1149696.2231445312,0.014053339237165563
8,30,10,2,21,1301969.4077148438,0.026750176797847525
8,30,10,2,31,1390381.2895507812,0.03352092063737344
8,30,10,2,41,1406873.5698242188,0.03474085804803906
8,30,10,4,1,1025674.6000976562,0.002539314383352975
8,30,10,4,11,1282420.6010742188,0.025197378500383838
8,30,10,4,21,1411909.7192382812,0.03511081823718576
8,30,10,4,31,1460760.6440429688,0.03863909966995549
8,30,10,4,41,1428072.6118164062,0.036290189836914566
8,30,10,6,1,1034930.5981445312,0.0034407534175118215
8,30,10,6,11,1384236.5795898438,0.03306306310503504
8,30,10,6,21,1530651.0200195312,0.04350663326950799
8,30,10,6,31,1607257.3803710938,0.04861727928694903
8,30,10,6,41,1813390.6118164062,0.06135276663377209
